CustomerID,Country,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment
12346.0,United Kingdom,326,1,77183.6,1,1,4,114,6,Big Spenders
12347.0,Iceland,2,7,4310.0,4,4,4,444,12,Big Spenders
12348.0,Finland,75,4,1797.24,2,3,4,234,9,Big Spenders
12349.0,Italy,19,1,1757.55,3,1,4,314,8,Big Spenders
12350.0,Norway,310,1,334.4,1,1,2,112,4,Almost Lost
12352.0,Norway,36,8,2506.04,3,4,4,344,11,Loyal Customers
12353.0,Bahrain,204,1,89.0,1,1,1,111,3,Almost Lost
12354.0,Spain,232,1,1079.4,1,1,3,113,5,Big Spenders
12355.0,Bahrain,214,1,459.4,1,1,2,112,4,Almost Lost
12356.0,Portugal,23,3,2811.43,3,3,4,334,10,Big Spenders
12357.0,Switzerland,33,1,6207.67,3,1,4,314,8,Big Spenders
12358.0,Austria,2,2,1168.06,4,2,3,423,9,Big Spenders
12359.0,Cyprus,58,4,6372.58,2,3,4,234,9,Big Spenders
12360.0,Austria,52,3,2662.06,2,3,4,234,9,Big Spenders
12361.0,Belgium,287,1,189.9,1,1,1,111,3,Almost Lost
12362.0,Belgium,3,10,5226.23,4,4,4,444,12,Best Customers
12363.0,Unspecified,110,2,552.0,2,2,2,222,6,Big Spenders
12364.0,Belgium,8,4,1313.1,4,3,3,433,10,Big Spenders
12365.0,Cyprus,291,2,641.38,1,2,2,122,5,Big Spenders
12367.0,Denmark,4,1,168.9,4,1,1,411,6,Others
12370.0,Cyprus,51,4,3545.69,3,3,4,334,10,Big Spenders
12371.0,Switzerland,45,2,1887.96,3,2,4,324,9,Big Spenders
12372.0,Denmark,72,3,1298.04,2,3,3,233,8,Big Spenders
12373.0,Austria,311,1,364.6,1,1,2,112,4,Almost Lost
12374.0,Austria,25,1,742.9300000000001,3,1,3,313,7,Big Spenders
12375.0,Finland,11,2,457.5,4,2,2,422,8,Others
12377.0,Switzerland,315,2,1628.12,1,2,3,123,6,Big Spenders
12378.0,Switzerland,130,1,4008.62,2,1,4,214,7,Big Spenders
12379.0,Belgium,82,2,852.24,2,2,3,223,7,Big Spenders
12380.0,Belgium,22,4,2724.81,3,3,4,334,10,Big Spenders
12381.0,Norway,5,5,1845.31,4,3,4,434,11,Big Spenders
12383.0,Belgium,185,5,1850.56,1,3,4,134,8,Big Spenders
12384.0,Switzerland,29,2,585.27,3,2,2,322,7,Big Spenders
12386.0,Australia,338,2,401.9,1,2,2,122,5,Almost Lost
12388.0,Australia,16,6,2780.66,4,4,4,444,12,Big Spenders
12390.0,Belgium,80,1,549.84,2,1,2,212,5,Big Spenders
12391.0,Cyprus,22,1,460.89,3,1,2,312,6,Others
12393.0,Australia,72,4,1582.6000000000001,2,3,3,233,8,Big Spenders
12394.0,Belgium,64,2,1272.48,2,2,3,223,7,Big Spenders
12395.0,Belgium,19,12,3018.63,3,4,4,344,11,Best Customers
12397.0,Belgium,36,2,2409.9,3,2,4,324,9,Big Spenders
12398.0,Switzerland,46,1,1635.6599999999999,3,1,3,313,7,Big Spenders
12399.0,Belgium,119,4,1108.65,2,3,3,233,8,Big Spenders
12401.0,Belgium,303,1,84.3,1,1,1,111,3,Almost Lost
12402.0,Belgium,323,1,225.6,1,1,1,111,3,Almost Lost
12403.0,Denmark,50,1,427.7,3,1,2,312,6,Others
12405.0,Finland,149,1,1710.39,1,1,4,114,6,Big Spenders
12406.0,Denmark,22,2,3415.3,3,2,4,324,9,Big Spenders
12407.0,Belgium,50,5,1708.1200000000001,3,3,4,334,10,Big Spenders
12408.0,Belgium,33,5,2888.55,3,3,4,334,10,Big Spenders
12409.0,Switzerland,79,3,11072.67,2,3,4,234,9,Big Spenders
12410.0,Switzerland,309,2,693.3299999999999,1,2,3,123,6,Big Spenders
12412.0,Denmark,75,3,1226.88,2,3,3,233,8,Big Spenders
12413.0,France,67,3,758.1,2,3,3,233,8,Big Spenders
12414.0,Austria,217,3,562.41,1,3,2,132,6,Big Spenders
12415.0,Australia,24,21,124914.53,3,4,4,344,11,Best Customers
12417.0,Belgium,3,9,3649.1,4,4,4,444,12,Loyal Customers
12418.0,Switzerland,113,1,668.58,2,1,2,212,5,Big Spenders
12420.0,Cyprus,64,1,600.39,2,1,2,212,5,Big Spenders
12421.0,Spain,16,4,807.04,4,3,3,433,10,Big Spenders
12422.0,Australia,96,3,803.5600000000001,2,3,3,233,8,Big Spenders
12423.0,Belgium,1,8,1859.31,4,4,4,444,12,Loyal Customers
12424.0,Australia,163,2,1760.96,1,2,4,124,7,Big Spenders
12425.0,Portugal,78,1,777.2,2,1,3,213,6,Big Spenders
12426.0,Germany,195,1,582.73,1,1,2,112,4,Big Spenders
12427.0,Germany,22,3,825.8,3,3,3,333,9,Big Spenders
12428.0,Finland,26,9,7956.46,3,4,4,344,11,Loyal Customers
12429.0,Denmark,9,4,3750.4,4,3,4,434,11,Big Spenders
12430.0,Norway,43,1,256.4,3,1,1,311,5,Others
12431.0,Australia,36,15,6487.45,3,4,4,344,11,Loyal Customers
12432.0,Norway,43,5,5059.32,3,3,4,334,10,Big Spenders
12433.0,Norway,1,7,13375.87,4,4,4,444,12,Big Spenders
12434.0,Australia,85,2,806.14,2,2,3,223,7,Big Spenders
12435.0,Denmark,80,2,7829.89,2,2,4,224,8,Big Spenders
12436.0,Norway,100,1,509.01,2,1,2,212,5,Big Spenders
12437.0,France,2,18,4951.41,4,4,4,444,12,Best Customers
12438.0,Norway,14,2,2906.85,4,2,4,424,10,Big Spenders
12441.0,France,367,1,173.55,1,1,1,111,3,Almost Lost
12442.0,Spain,3,1,172.06,4,1,1,411,6,Others
12444.0,Norway,21,5,5005.46,3,3,4,334,10,Big Spenders
12445.0,Spain,22,1,133.4,3,1,1,311,5,Others
12446.0,RSA,58,1,1002.3100000000001,2,1,3,213,6,Big Spenders
12447.0,Belgium,243,1,476.49,1,1,2,112,4,Almost Lost
12448.0,Spain,44,1,449.45,3,1,2,312,6,Others
